TEAM,DATE,MATCHUP,W/L,MIN,PTS,+/-
BOS,11/16/2016,BOS vs. DAL,W,241,90,7
LAC,11/16/2016,LAC vs. MEM,L,240,107,-4
NOP,11/16/2016,NOP @ ORL,L,241,82,-7
DEN,11/16/2016,DEN vs. PHX,W,240,120,16
GSW,11/16/2016,GSW @ TOR,W,240,127,6
SAS,11/16/2016,SAS @ SAC,W,240,110,5
WAS,11/16/2016,WAS @ PHI,L,240,102,-7
DAL,11/16/2016,DAL @ BOS,L,240,83,-7
HOU,11/16/2016,HOU @ OKC,L,241,103,-2
SAC,11/16/2016,SAC vs. SAS,L,241,105,-5
IND,11/16/2016,IND vs. CLE,W,238,103,10
OKC,11/16/2016,OKC vs. HOU,W,239,105,2
NYK,11/16/2016,NYK vs. DET,W,241,105,3
DET,11/16/2016,DET @ NYK,L,240,102,-3
ORL,11/16/2016,ORL vs. NOP,W,241,89,7
TOR,11/16/2016,TOR vs. GSW,L,241,121,-6
HOU,11/17/2016,HOU vs. POR,W,241,126,17
MIA,11/17/2016,MIA vs. MIL,W,240,96,23
WAS,11/17/2016,WAS vs. NYK,W,241,119,7
NYK,11/17/2016,NYK @ WAS,L,239,112,-7
PHI,11/17/2016,PHI @ MIN,L,239,86,-24
MIL,11/17/2016,MIL @ MIA,L,239,73,-23
UTA,11/17/2016,UTA vs. CHI,L,241,77,-8
POR,11/17/2016,POR @ HOU,L,241,109,-17
CHI,11/17/2016,CHI @ UTA,W,240,85,8
MIN,11/17/2016,MIN vs. PHI,W,238,110,24
BKN,11/18/2016,BKN @ OKC,L,240,105,-19
LAL,11/18/2016,LAL vs. SAS,L,239,107,-9
SAS,11/18/2016,SAS @ LAL,W,238,116,9
SAC,11/18/2016,SAC vs. LAC,L,241,115,-6
TOR,11/18/2016,TOR @ DEN,W,263,113,2
DAL,11/18/2016,DAL vs. MEM,L,239,64,-16
PHX,11/18/2016,PHX @ IND,W,240,116,20
BOS,11/18/2016,BOS vs. GSW,L,240,88,-16
DET,11/18/2016,DET @ CLE,L,239,81,-23
IND,11/18/2016,IND vs. PHX,L,240,96,-20
GSW,11/18/2016,GSW @ BOS,W,240,104,16
DEN,11/18/2016,DEN vs. TOR,L,266,111,-2
MEM,11/18/2016,MEM @ DAL,W,240,80,16
OKC,11/18/2016,OKC vs. BKN,W,239,124,19
ATL,11/18/2016,ATL @ CHA,L,240,96,-4
CHA,11/18/2016,CHA vs. ATL,W,240,100,4
NOP,11/18/2016,NOP vs. POR,W,239,113,12
POR,11/18/2016,POR @ NOP,L,240,101,-12
CLE,11/18/2016,CLE vs. DET,W,240,104,23
LAC,11/18/2016,LAC @ SAC,W,241,121,6
DET,11/19/2016,DET vs. BOS,L,240,92,-2
HOU,11/19/2016,HOU vs. UTA,W,241,111,9
CHA,11/19/2016,CHA @ NOP,L,265,116,-5
WAS,11/19/2016,WAS vs. MIA,L,240,111,-3
LAC,11/19/2016,LAC vs. CHI,W,240,102,7
PHI,11/19/2016,PHI vs. PHX,W,240,120,15
ORL,11/19/2016,ORL vs. DAL,W,240,95,8
NOP,11/19/2016,NOP vs. CHA,W,264,121,5
GSW,11/19/2016,GSW @ MIL,W,240,124,3
MIA,11/19/2016,MIA @ WAS,W,241,114,3
UTA,11/19/2016,UTA @ HOU,L,241,102,-9
BOS,11/19/2016,BOS @ DET,W,242,94,2
PHX,11/19/2016,PHX @ PHI,L,242,105,-15
MEM,11/19/2016,MEM vs. MIN,W,239,93,22
CHI,11/19/2016,CHI @ LAC,L,240,95,-7
MIL,11/19/2016,MIL vs. GSW,L,241,121,-3
MIN,11/19/2016,MIN @ MEM,L,242,71,-22
DAL,11/19/2016,DAL @ ORL,L,241,87,-8
NYK,11/20/2016,NYK vs. ATL,W,241,104,10
ATL,11/20/2016,ATL @ NYK,L,240,94,-10
OKC,11/20/2016,OKC vs. IND,L,264,111,-4
TOR,11/20/2016,TOR @ SAC,L,240,99,-3
BKN,11/20/2016,BKN vs. POR,L,242,109,-20
CHI,11/20/2016,CHI @ LAL,W,240,118,8
IND,11/20/2016,IND @ OKC,W,264,115,4
UTA,11/20/2016,UTA @ DEN,L,239,91,-14
POR,11/20/2016,POR @ BKN,W,240,129,20
DEN,11/20/2016,DEN vs. UTA,W,241,105,14
SAC,11/20/2016,SAC vs. TOR,W,238,102,3
LAL,11/20/2016,LAL vs. CHI,L,239,110,-8
GSW,11/21/2016,GSW @ IND,W,239,120,37
HOU,11/21/2016,HOU @ DET,W,240,99,3
CHA,11/21/2016,CHA vs. MEM,L,240,90,-15
WAS,11/21/2016,WAS vs. PHX,W,240,106,5
DAL,11/21/2016,DAL @ SAS,L,240,91,-5
MIN,11/21/2016,MIN vs. BOS,L,239,93,-6
PHX,11/21/2016,PHX @ WAS,L,240,101,-5
TOR,11/21/2016,TOR @ LAC,L,239,115,-8
SAS,11/21/2016,SAS vs. DAL,W,241,96,5
MIA,11/21/2016,MIA @ PHI,L,241,94,-7
IND,11/21/2016,IND vs. GSW,L,240,83,-37
MEM,11/21/2016,MEM @ CHA,W,240,105,15
DET,11/21/2016,DET vs. HOU,L,239,96,-3
MIL,11/21/2016,MIL vs. ORL,W,240,93,4
PHI,11/21/2016,PHI vs. MIA,W,240,101,7
BOS,11/21/2016,BOS @ MIN,W,241,99,6
ORL,11/21/2016,ORL @ MIL,L,239,89,-4
LAC,11/21/2016,LAC vs. TOR,W,240,123,8
LAL,11/22/2016,LAL vs. OKC,W,240,111,2
NYK,11/22/2016,NYK vs. POR,W,241,107,4
DEN,11/22/2016,DEN vs. CHI,W,239,110,3
ATL,11/22/2016,ATL vs. NOP,L,240,94,-18
CHI,11/22/2016,CHI @ DEN,L,239,107,-3
POR,11/22/2016,POR @ NYK,L,238,103,-4
NOP,11/22/2016,NOP @ ATL,W,240,112,18
OKC,11/22/2016,OKC @ LAL,L,240,109,-2
UTA,11/23/2016,UTA vs. DEN,W,240,108,25
NOP,11/23/2016,NOP vs. MIN,W,242,117,21
SAS,11/23/2016,SAS @ CHA,W,241,119,5
LAL,11/23/2016,LAL @ GSW,L,238,106,-43
MIA,11/23/2016,MIA @ DET,L,239,84,-23
PHI,11/23/2016,PHI vs. MEM,L,290,99,-5
CHA,11/23/2016,CHA vs. SAS,L,240,114,-5
GSW,11/23/2016,GSW vs. LAL,W,241,149,43
BOS,11/23/2016,BOS @ BKN,W,241,111,19
IND,11/23/2016,IND vs. ATL,L,240,85,-11
