Cristiano Felicio,CHI,10/19/2017,CHI @ TOR,L,16,4,-20
Jakob Poeltl,TOR,10/19/2017,TOR vs. CHI,W,18,2,19
Denzel Valentine,CHI,10/19/2017,CHI @ TOR,L,26,12,-19
Robin Lopez,CHI,10/19/2017,CHI @ TOR,L,32,18,3
Lance Thomas,NYK,10/19/2017,NYK @ OKC,L,15,2,-23
Patrick Patterson,OKC,10/19/2017,OKC vs. NYK,W,7,0,-1
Ryan Arcidiacono,CHI,10/19/2017,CHI @ TOR,L,5,0,-9
Milos Teodosic,LAC,10/19/2017,LAC @ LAL,W,21,6,12
Steven Adams,OKC,10/19/2017,OKC vs. NYK,W,30,12,27
Corey Brewer,LAL,10/19/2017,LAL vs. LAC,L,16,2,0
DeMar DeRozan,TOR,10/19/2017,TOR vs. CHI,W,32,11,-3
Austin Rivers,LAC,10/19/2017,LAC @ LAL,W,26,2,-5
Alex Caruso,LAL,10/19/2017,LAL vs. LAC,L,12,2,-10
Sam Dekker,LAC,10/19/2017,LAC @ LAL,W,5,0,-14
Brandon Ingram,LAL,10/19/2017,LAL vs. LAC,L,31,12,-2
DeAndre Jordan,LAC,10/19/2017,LAC @ LAL,W,32,14,11
Paul George,OKC,10/19/2017,OKC vs. NYK,W,39,28,23
Ramon Sessions,NYK,10/19/2017,NYK @ OKC,L,21,3,-23
Tim Hardaway Jr.,NYK,10/19/2017,NYK @ OKC,L,29,8,-6
Alex Abrines,OKC,10/19/2017,OKC vs. NYK,W,24,3,23
David Nwaba,CHI,10/19/2017,CHI @ TOR,L,13,4,-15
Kyle Lowry,TOR,10/19/2017,TOR vs. CHI,W,31,12,1
Doug McDermott,NYK,10/19/2017,NYK @ OKC,L,24,4,4
Enes Kanter,NYK,10/19/2017,NYK @ OKC,L,22,10,-22
Jerian Grant,CHI,10/19/2017,CHI @ TOR,L,27,7,-11
Michael Beasley,NYK,10/19/2017,NYK @ OKC,L,1,2,3
Montrezl Harrell,LAC,10/19/2017,LAC @ LAL,W,3,4,-3
Alfonzo McKinnie,TOR,10/19/2017,TOR vs. CHI,W,1,0,-4
Willie Reed,LAC,10/19/2017,LAC @ LAL,W,13,8,8
Jordan Clarkson,LAL,10/19/2017,LAL vs. LAC,L,23,18,-11
Luol Deng,LAL,10/19/2017,LAL vs. LAC,L,13,2,-7
Andre Roberson,OKC,10/19/2017,OKC vs. NYK,W,21,6,3
Blake Griffin,LAC,10/19/2017,LAC @ LAL,W,34,29,20
Courtney Lee,NYK,10/19/2017,NYK @ OKC,L,31,9,-22
Kristaps Porzingis,NYK,10/19/2017,NYK @ OKC,L,38,31,-17
Lou Williams,LAC,10/19/2017,LAC @ LAL,W,25,12,13
OG Anunoby,TOR,10/19/2017,TOR vs. CHI,W,17,9,26
Dakari Johnson,OKC,10/19/2017,OKC vs. NYK,W,3,4,0
Andrew Bogut,LAL,10/19/2017,LAL vs. LAC,L,11,0,-10
Kyle O'Quinn,NYK,10/19/2017,NYK @ OKC,L,22,6,-1
Norman Powell,TOR,10/19/2017,TOR vs. CHI,W,25,15,1
Timothe Luwawu-Cabarrot,PHI,10/20/2017,PHI vs. BOS,L,14,2,8
Luke Babbitt,ATL,10/20/2017,ATL @ CHA,L,16,7,-7
Mike James,PHX,10/20/2017,PHX vs. LAL,L,22,13,5
Kevin Love,CLE,10/20/2017,CLE @ MIL,W,27,17,-2
David West,GSW,10/20/2017,GSW @ NOP,W,13,11,1
Ike Anigbogu,IND,10/20/2017,IND vs. POR,L,2,0,5
Terry Rozier,BOS,10/20/2017,BOS @ PHI,W,30,14,6
TJ Leaf,IND,10/20/2017,IND vs. POR,L,19,17,-1
Pat Connaughton,POR,10/20/2017,POR @ IND,W,22,8,5
Marcin Gortat,WAS,10/20/2017,WAS vs. DET,W,35,10,3
Trevor Booker,BKN,10/20/2017,BKN vs. ORL,W,22,17,0
Ed Davis,POR,10/20/2017,POR @ IND,W,20,7,12
Kevin Durant,GSW,10/20/2017,GSW @ NOP,W,38,22,5
Marvin Williams,CHA,10/20/2017,CHA vs. ATL,W,16,0,2
George Hill,SAC,10/20/2017,SAC @ DAL,W,32,21,14
Malcolm Delaney,ATL,10/20/2017,ATL @ CHA,L,23,3,-30
Allen Crabbe,BKN,10/20/2017,BKN vs. ORL,W,23,9,-7
Jordan Clarkson,LAL,10/20/2017,LAL @ PHX,W,17,17,-7
Stanley Johnson,DET,10/20/2017,DET @ WAS,L,24,10,-3
Derrick Favors,UTA,10/20/2017,UTA @ MIN,L,29,16,14
Garrett Temple,SAC,10/20/2017,SAC @ DAL,W,28,8,0
Zach Randolph,SAC,10/20/2017,SAC @ DAL,W,30,13,12
Aron Baynes,BOS,10/20/2017,BOS @ PHI,W,14,10,-3
Quincy Acy,BKN,10/20/2017,BKN vs. ORL,W,17,3,4
Victor Oladipo,IND,10/20/2017,IND vs. POR,L,33,17,-18
Ricky Rubio,UTA,10/20/2017,UTA @ MIN,L,33,19,-2
Jeff Green,CLE,10/20/2017,CLE @ MIL,W,18,10,11
Jimmy Butler,MIN,10/20/2017,MIN vs. UTA,W,39,13,-8
Al Horford,BOS,10/20/2017,BOS @ PHI,W,36,17,5
